iter	Passed	Remaining
0	166	166781
1	170	85313
2	175	58309
3	179	44758
4	182	36336
5	184	30644
6	186	26480
7	188	23339
8	189	20896
9	191	18960
10	193	17382
11	194	16036
12	196	14895
13	197	13899
14	198	13027
15	199	12262
16	200	11591
17	201	10991
18	202	10455
19	203	9970
20	204	9544
21	205	9141
22	206	8775
23	207	8449
24	208	8139
25	209	7853
26	210	7590
27	211	7343
28	212	7112
29	213	6897
30	214	6695
31	215	6507
32	216	6332
33	217	6168
34	218	6019
35	219	5871
36	220	5726
37	221	5598
38	222	5477
39	223	5365
40	224	5253
41	225	5144
42	226	5043
43	227	4947
44	228	4851
45	229	4760
46	230	4673
47	231	4590
48	232	4510
49	233	4433
50	234	4359
51	235	4293
52	236	4231
53	237	4167
54	238	4105
55	239	4043
56	240	3983
57	241	3926
58	242	3871
59	243	3817
60	244	3765
61	245	3714
62	246	3665
63	247	3615
64	248	3569
65	249	3525
66	250	3484
67	251	3446
68	252	3410
69	253	3371
70	254	3333
71	255	3296
72	256	3259
73	257	3223
74	258	3188
75	259	3154
76	260	3121
77	261	3090
78	262	3060
79	263	3029
80	264	2999
81	265	2974
82	266	2948
83	267	2920
84	268	2893
85	269	2866
86	270	2839
87	271	2814
88	273	2794
89	274	2770
90	274	2746
91	275	2722
92	276	2699
93	277	2677
94	278	2654
95	279	2634
96	281	2617
97	282	2598
98	283	2577
99	283	2553
100	284	2533
101	285	2514
102	286	2496
103	287	2477
104	288	2459
105	289	2442
106	290	2421
107	291	2404
108	292	2387
109	292	2370
110	293	2353
111	294	2337
112	296	2324
113	297	2310
114	298	2295
115	299	2281
116	300	2266
117	301	2251
118	302	2236
119	303	2222
120	304	2208
121	304	2193
122	305	2179
123	306	2163
124	307	2150
125	308	2137
126	309	2124
127	310	2116
128	312	2107
129	313	2098
130	315	2093
131	316	2084
132	318	2073
133	319	2067
134	321	2059
135	322	2048
136	323	2039
137	326	2037
138	327	2027
139	328	2019
140	329	2009
141	330	1999
142	332	1991
143	333	1982
144	334	1973
145	335	1963
146	336	1953
147	338	1946
148	340	1943
149	341	1935
150	342	1927
151	343	1916
152	344	1908
153	346	1901
154	347	1893
155	348	1884
156	349	1876
157	350	1869
158	352	1863
159	353	1856
160	355	1853
161	357	1847
162	358	1840
163	359	1834
164	360	1826
165	362	1819
166	363	1812
167	364	1806
168	365	1799
169	366	1791
170	368	1787
171	371	1788
172	372	1781
173	373	1775
174	375	1768
175	376	1762
176	378	1757
177	379	1754
178	381	1748
179	382	1742
180	384	1741
181	386	1736
182	387	1731
183	389	1726
184	390	1721
185	391	1714
186	393	1708
187	394	1703
188	396	1701
189	397	1695
190	399	1692
191	401	1688
192	402	1683
193	403	1678
194	405	1672
195	406	1666
196	407	1661
197	408	1655
198	409	1650
199	411	1644
200	412	1638
201	414	1636
202	415	1632
203	417	1627
204	418	1624
205	420	1618
206	421	1614
207	422	1610
208	424	1605
209	425	1599
210	426	1594
211	427	1590
212	430	1588
213	431	1584
214	432	1578
215	433	1574
216	435	1569
217	436	1564
218	437	1560
219	438	1555
220	439	1550
221	441	1546
222	442	1541
223	444	1539
224	445	1535
225	447	1531
226	448	1528
227	450	1523
228	451	1518
229	452	1513
230	453	1509
231	454	1504
232	455	1499
233	456	1494
234	457	1490
235	459	1488
236	461	1484
237	462	1480
238	463	1475
239	464	1470
240	465	1467
241	467	1464
242	468	1459
243	469	1455
244	471	1451
245	472	1449
246	474	1447
247	476	1443
248	477	1440
249	479	1437
250	480	1433
251	481	1429
252	482	1425
253	484	1421
254	485	1418
255	486	1414
256	488	1413
257	490	1409
258	491	1406
259	492	1403
260	494	1399
261	495	1395
262	496	1391
263	498	1388
264	499	1385
265	500	1381
266	501	1377
267	504	1376
268	505	1373
269	506	1370
270	507	1366
271	508	1362
272	510	1358
273	511	1355
274	512	1351
275	513	1348
276	515	1344
277	516	1340
278	517	1338
279	519	1335
280	520	1332
281	522	1329
282	523	1325
283	524	1321
284	525	1318
285	526	1314
286	527	1311
287	528	1307
288	530	1304
289	531	1300
290	533	1299
291	534	1296
292	535	1293
293	537	1289
294	538	1286
295	539	1282
296	540	1279
297	541	1275
298	542	1272
299	544	1269
300	545	1265
301	546	1262
302	548	1260
303	549	1257
304	550	1254
305	551	1250
306	552	1247
307	553	1244
308	554	1240
309	556	1237
310	557	1234
311	558	1231
312	559	1228
313	560	1225
314	561	1222
315	563	1220
316	564	1217
317	566	1214
318	567	1211
319	568	1207
320	569	1204
321	570	1201
322	571	1197
323	572	1194
324	573	1191
325	574	1188
326	575	1185
327	577	1182
328	578	1179
329	579	1176
330	580	1173
331	581	1170
332	582	1167
333	584	1164
334	585	1162
335	586	1159
336	587	1156
337	588	1152
338	589	1149
339	590	1147
340	592	1145
341	593	1142
342	595	1139
343	596	1137
344	597	1134
345	598	1131
346	599	1128
347	600	1125
348	602	1122
349	603	1120
350	604	1117
351	605	1114
352	606	1112
353	608	1110
354	609	1107
355	610	1104
356	611	1101
357	612	1099
358	614	1096
359	615	1093
360	616	1090
